department,id,subject,teacher,grade,class_num,period,credit,optional_course,domain,time,location,stu_num,limit
中文系,1102146,荀子：性非本惡Xun Zi: Human Nature Is Not Radical Evil,賴柯助,2.0,1,2  2/0/0,2,選修,,"四10,11",文學院102,40,
中文系,1102412,詞彙學The Lexicology of Chinese,曾若涵,2.0,1,2  2/0/0,2,選修,,"二10,11",文學院104,55,
中文系,1102510,曲選及習作Selected Readings and Writing Practice in Chinese Ch'u,游富凱,2.0,1,3  3/0/0,3,必修,,"一10,11,12",文學院104,55,
中文系,1102633,現代詩Modern Poetry,張日郡,2.0,1,3  3/0/0,3,選修,,"四7,8,9",文學院104,55,
中文系,1102653,歐美漢學史History of Western Sinology,陳俊啟,2.0,1,3  3/0/0,3,選修,,"三10,11,12",文學院102,40,
中文系,1102712,歷代文選及習作（二）Selected Readings in Chinese Literature and Writing Practice (II),王瓊玲,2.0,1,3  3/0/0,3,必修,,"三4,5,6",文學院104,55,
中文系,1103022,中國文學史（二）A History of Chinese Literature (II),陳俊啟,3.0,1,3  3/0/0,3,必修,,"二7,8,9",文學院104,55,
中文系,1103112,中國思想史（二）A History of Chinese Thoughts (II),賴柯助,3.0,1,3  3/0/0,3,必修,,"四4,5,6",文學院104,55,
中文系,1103206,金瓶梅Jin Ping Mei,黃錦珠,3.0,1,3  3/0/0,3,選修,,"二10,11,12",文學院102,40,
中文系,1103249,當代文學思潮The Contemporary Literary Trend of Thoughts,蕭義玲,3.0,1,2  2/0/0,2,選修,,"三4,5",文學院101,40,
中文系,1103271,日本漢學史History of Chinese Studies in Japan,曾若涵,3.0,1,3  3/0/0,3,選修,,"四7,8,9",文學院102,40,
中文系,1103312,聲韻學（二）Phonology (II),曾若涵,3.0,1,2  2/0/0,2,必修,,"五2,3",文學院104,55,
中文系,1103628,華文戲劇選讀Selective Readings of Sinophone Theatre,鍾欣志,3.0,1,3  3/0/0,3,選修,,"三10,11,12",文學院101,40,
中文系,1103913,"書寫、影像與編輯Writing, Image and Layout",莊家瑋,3.0,1,3  3/0/0,3,選修,,"三7,8,9",文學院101,30,
中文系,1103914,專題製作與寫作Special Project and Thesis Writing,游富凱,3.0,1,3  3/0/0,3,選修,,"四10,11,12",文學院101,30,
中文系,1103959,劇本創作實務（二）Playwriting in Practice (II),周力德,3.0,1,3  3/0/0,3,選修,,"五4,5,6",文學院102,20,
中文系,1104154,中國話劇選讀Selective Reading of Chinese Huaju,游富凱,4.0,1,3  3/0/0,3,選修,,"二4,5,6",文學院102,40,
中文系,1104171,文藝理論與批評寫作Art Theory and Critique Writing,郭亮廷,4.0,1,3  3/0/0,3,選修,,"三7,8,9",文學院102,30,
中文系,1104224,楚辭Ch'u-tz'u,陳逸根,4.0,1,3  3/0/0,3,選修,,"一7,8,9",文學院101,40,
中文系,1104751,應用文書寫作Writes using the copy clerk,黃靜吟,4.0,1,3  3/0/0,3,選修,,"一4,5,6",文學院102,40,
企管所,5205002,研究方法Research Methods,莊世杰 鄭祥麟 蘇宏仁,1.0,1,3  3/0/0,3,必修,,"二3,4,5",管理學院454,0,碩士班課程
企管所,5205057,廣告管理Advertising Management,莊世杰,1.0,1,3  3/0/0,3,選修,,"四3,4,5",管理學院441研討室,0,碩士班課程
企管所,5205058,投資分析Investment Analysis (全英語授課/English-taught),鎮明常,1.0,1,3  3/0/0,3,選修,,"四10,11,12",管理學院441研討室,0,碩士班課程
企管所,5205067,國際企業International Enterprise,鄭祥麟,1.0,1,3  3/0/0,3,選修,,"三10,11,12",管理學院441研討室,0,碩士班課程
企管所,5205097,服務業行銷管理Marketing Management for Services,曾光華,1.0,1,3  3/0/0,3,選修,,"一4,5,6",管理學院441研討室,32,碩士班課程
企管所,5205122,網路行銷Internet Marketing,蘇宏仁,1.0,1,3  3/0/0,3,選修,,"三7,8,9",管理學院441研討室,0,碩士班課程
企管所,5205150,問題分析與決策Problem Analysis and decision Making,鍾憲瑞,1.0,1,3  3/0/0,3,選修,,"一10,11,12",管理學院441研討室,0,碩士班課程
企管所,5205166,企業資源規劃Enterprise Resource Planning,蔡國揚,1.0,1,3  3/0/0,3,選修,,"五3,4,5",管理學院441研討室,0,碩士班課程
企管所,5205200,人力招募與甄選PersonnelRecruitment and Selection,楊文芬,1.0,1,3  3/0/0,3,選修,,"三7,8,9",管理學院443,0,碩士班課程
企管所,5205204,通路管理Channel Management,游蓓怡,1.0,1,3  3/0/0,3,選修,,"三3,4,5",管理學院441研討室,0,碩士班課程
企管所,5205206,商業模式創新與管理Business Model Innovation and Management,鍾憲瑞,1.0,1,3  3/0/0,3,選修,,"二11,12,13",管理學院441研討室,0,碩士班課程
企管所,5205227,商用英文（二）Business English Training Ⅱ,陳詠卉,1.0,1,2  2/0/0,2,必修,,"三13,14",管理學院427,0,碩博合開
企管所,5205229,商用英文（四）Business English Training IV,陳詠卉,1.0,1,2  2/0/0,2,必修,,"四13,14",管理學院427,0,碩博合開
企管所,5205230,商用英文Business English Training,陳詠卉,1.0,1,3  3/0/0,3,選修,,"五B,C",管理學院427,0,碩士班課程
企管所,5205231,新興市場分析Emerging Markets Analysis (全英語授課/English-taught),蔡宗霖,1.0,1,3  3/0/0,3,選修,,"四3,4,5",管理學院427,0,碩士班課程
企管所,5206013,數量方法專題研討（一）Seminar on Quantitative Method (I),陳明德,1.0,1,3  3/0/0,3,選修,,"四10,11,12",管理學院4561,0,博士班課程
企管所,5206020,公司理財專題研討Seminar on Corporate Finance Theory,王明昌,1.0,1,3  3/0/0,3,選修,,"四8,9,10",管理學院4312,0,博士班課程
企管所,5206115,組織行為專題研討Seminar on Organizational Behavior,艾昌瑞,1.0,1,3  3/0/0,3,選修,,"五3,4,5",管理學院4561,0,博士班課程
企管所,5206116,組織變革與策略改變專題Seminar on Organizational and Strategic Change,鄭祥麟,1.0,1,3  3/0/0,3,選修,,"五7,8,9",管理學院4312,0,博士班課程
企管所,5206163,獨立研究: 綠色行銷與永續經營Green marketing and sustainabililty,盧龍泉,1.0,1,3  3/0/0,3,選修,,"三3,4,5",管理學院4312,0,博士班課程
企管所,5206164,品牌與關係行銷管理專題Seminar on Branding and Relationship Marketing Management,游蓓怡,1.0,1,3  3/0/0,3,選修,,"五3,4,5",管理學院4312,0,博士班課程
企管所,5206165,科技管理專題研討Seminar in Technology Management,蔡宗霖,1.0,1,3  3/0/0,3,選修,,"四7,8,9",管理學院4561,0,博士班課程
企管所,5206200,財務與投資專題研討Seminar on Finance and Invesment (全英語授課/English-taught),鎮明常,1.0,1,3  3/0/0,3,選修,,"三13,14,15",管理學院4312,0,博士班課程
企管所,5206208,質化研究方法專題Seminar on Qulitative Research,連雅慧 許嘉文 游蓓怡,1.0,1,3  3/0/0,3,必修,,"六3,4,5",管理學院443,0,博士班課程
企管所,5206211,量化研究方法Quantitative Research Methods,楊文芬,1.0,1,3  3/0/0,3,必修,,"六3,4,5",管理學院4312,0,博士班課程
企管所,5206213,大數據分析與管理專題研討Seminar on big data analysis and management,黃正魁,1.0,1,3  3/0/0,3,選修,,"三3,4,5",管理學院427,0,碩博合開
企管所,5206217,知識發展專題研討（二）Seminar in Knowledge Development (II),曾光華,1.0,1,1  1/0/0,1,必修,,六10,管理學院443,0,博士班課程
企管系,5201002,管理學Management,蔡宗霖,1.0,1,3  3/0/0,3,必修,,"二4,5,6",管理學院116,65,
企管系,5201002,管理學Management,鄭祥麟,1.0,2,3  3/0/0,3,必修,,"一4,5,6",管理學院349,40,
企管系,5201007,線性代數Linear Algebra,陳世彬,1.0,1,3  3/0/0,3,必修,,"三4,5 五4",管理學院115,75,
企管系,5201007,線性代數Linear Algebra,陳世彬,1.0,2,3  3/0/0,3,必修,,"三6 五5,6",管理學院115,75,
企管系,5201011,初級會計學(二)AccountingⅡ,王明昌,1.0,1,4  3/1/0,3,選修,,"二4,5,6 四6",管理學院114,125,
企管系,5201017,企業概論Introduction to Business,洪清德,1.0,1,3  3/0/0,3,選修,,"三7,8,9",管理學院214,125,
企管系,5201018,管理學Management,許嘉文,1.0,1,3  3/0/0,3,選修,,"三4,5,6",管理學院116,65,
企管系,5202004,統計學（二）Statistics (II),陳明德,2.0,1,4  3/1/0,3,選修,,"二7 四7,8,9",管理學院214,125,
企管系,5202008,商事法Commercial Law,王永富,2.0,1,3  3/0/0,3,必修,,"一7,8,9",管理學院214,125,
企管系,5202012,運籌管理Logistics Management,葉丁鴻,2.0,1,3  3/0/0,3,必修,,"一4,5,6",管理學院114,125,
企管系,5202012,運籌管理Logistics Management,葉丁鴻,2.0,2,3  3/0/0,3,必修,,"三4,5,6",管理學院114,125,
企管系,5202013,管理資訊系統概論Introduction to Management Information Systems (程式設計相關/Programming related),黃正魁,3.0,1,3  3/0/0,3,必修,,"二10,11,12",管理學院454,90,
企管系,5202039,組織行為Organizational Behavior,艾昌瑞 楊文芬,2.0,1,3  3/0/0,3,必修,,"四4,5,6",管理學院214,125,
企管系,5203006,人文與企業倫理專題Seminar on Humanistic and Business Ethics,艾昌瑞 曾光華,3.0,1,3  3/0/0,3,必修,,"三4,5,6",管理學院214,125,
企管系,5203045,系統模擬Simulation,葉丁鴻,3.0,1,3  3/0/0,3,選修,,"五4,5,6",管理學院114,125,
企管系,5203056,管理時事英文選讀（二）Reading in Business News (II),洪清德,3.0,1,2  2/0/0,2,選修,,"二10,11",管理學院214,125,
企管系,5203066,人力資源發展Human Resource Development (全英語授課/English-taught),連雅慧,3.0,1,3  3/0/0,3,選修,,"一4,5,6",管理學院116,65,
企管系,5203082,期貨與選擇權實務Practice of Future and Options,鎮明常,3.0,1,3  3/0/0,3,選修,,三B 五B,管理學院454,90,
企管系,5203083,領導學Leadership,艾昌瑞,3.0,1,3  3/0/0,3,選修,,"一7,8,9",管理學院454,90,
企管系,5203084,企業倫理Business Ethics,盧龍泉,3.0,1,2  2/0/0,2,必修,,"一4,5",管理學院115,75,
企管系,5203088,商用英文溝通與會話Business English Communication,陳詠卉,3.0,1,3  3/0/0,3,選修,,"四7,8,9",管理學院427,32,
企管系,5203090,商用英文（二）Business English Training II,陳詠卉,3.0,1,2  2/0/0,2,選修,,"三10,11",管理學院427,32,
企管系,5203092,網路行銷-Google AnalyticsThe Internet Marketing – Google Analytics,蘇宏仁,3.0,1,3  3/0/0,3,選修,,"四7,8,9",管理學院441研討室,62,
企管系,5203093,企業管理實務Business management practices,連雅慧 簡麗環 吳容輝 陳志昕,3.0,1,3  3/0/0,3,選修,,"三7,8,9",管理學院454,90,
休閒教育所,3905002,運動行銷與創意Sport marketing and Creativity,廖俊儒,1.0,1,2  2/0/0,2,選修,,"三2,3",運技系110室,30,碩士班課程
休閒教育所,3905015,應用競技運動心理學Applied Sport Psychology,陳俊民,1.0,1,2  2/0/0,2,選修,,"二2,3",運技系110室,30,碩士班課程
休閒教育所,3905035,運動與休閒資訊科技Sports & Leisure Information Technology Study,林晉榮,1.0,1,2  2/0/0,2,必修,,"二4,5",運技系104室,40,碩士班課程
休閒教育所,3905039,當代運動與休閒書報討論Seminar: Contemporary Issues In Sports & Leisure Studies,廖俊儒,1.0,1,2  0/0/2,1,必修,,"三10,11",運技系104室,0,碩士班課程
休閒教育所,3905131,運動生理學專題研究Special Topics in Exercise Physiology,何承訓,1.0,1,2  2/0/0,2,選修,,"五8,9",運動科學教育研究室,0,碩士班課程
休閒教育所,3905133,運動技術分析專題研究Special Topics in Sports Skill,王順正,1.0,1,2  2/0/0,2,選修,,"四8,9",運技系104室,40,碩士班課程
休閒教育所,3905341,休閒治療研究Therapeutic Recreation,許文蔚,1.0,1,2  2/0/0,2,選修,,"二8,9",運技系104室,40,碩士班課程
休閒教育所,3905507,休閒活動與老年Leisure and Aging,王秀華,1.0,1,2  2/0/0,2,選修,,"三4,5",運技系107室,30,碩士班課程
休閒教育所,3905551,進階統計Advanced Statistics,陳永洲,1.0,1,2  2/0/0,2,選修,,"四2,3",運技系107室,30,碩士班課程
傳播系,3351888,學系服務學習Service Learning：Campus Service,盧鴻毅,1.0,1,1  1/0/0,0,必修,,三3,社科院102,30,
傳播系,3351014,電影概論Introduction to Movies,張時建,1.0,1,3  3/0/0,3,選修,,"二10,11,12",社科院227-1,55,
傳播系,3351025,創意短片製作Creative Short Film Production,蔡崇隆,1.0,1,3  3/0/0,3,選修,,"二7,8,9",社科院103,55,
傳播系,3351026,新聞採訪寫作News Writing,吳政龍,1.0,1,3  3/0/0,3,必修,,"一7,8,9",社科院207,35,
傳播系,3351026,新聞採訪寫作News Writing,張時建,1.0,2,3  3/0/0,3,必修,,"一7,8,9",社科院227-1,35,
傳播系,3351027,基礎資訊製作Introduction to Information Production,劉榮樺,1.0,1,3  3/0/0,3,必修,,"二4,5,6",社科院102,35,
傳播系,3351027,基礎資訊製作Introduction to Information Production,陳怡璇,1.0,2,3  3/0/0,3,必修,,"二4,5,6",社科院103,35,
傳播系,3351028,心理學與傳播Psychology & Communication,劉榮樺,1.0,1,3  3/0/0,3,必修,,"三10,11,12",社科院227-1,55,
傳播系,3351029,基礎聲音製作Introduction to Audio Production,邱嘉琪,1.0,1,3  3/0/0,3,必修,,"四7,8,9",社科院207,50,
傳播系,3352024,傳播理論Communication Theory,羅世宏,2.0,1,3  3/0/0,3,必修,,"一4,5,6",社科院227-1,55,
傳播系,3352025,當代社會問題分析Contemporary Social Problems in Taiwan,管中祥,2.0,1,3  3/0/0,3,選修,,"二4,5,6",社科院207,50,
傳播系,3352030,劇情片製作Fiction Film Production,蔡崇隆,2.0,1,3  3/0/0,3,選修,,"三10,11,12",社科院207,50,
傳播系,3352031,廣告創意與製作Advertising Creative & Production,戴皖文,2.0,1,3  3/0/0,3,選修,,"一7,8,9",社科院102,30,
傳播系,3352039,經濟學與傳播Economics & Communication,李政忠,2.0,1,3  3/0/0,3,必修,,"三4,5,6",社科院102,30,
傳播系,3352040,整合新聞製作Digital Integrated Content,吳政龍,2.0,1,3  3/0/0,3,選修,,"二10,11,12",社科院207,50,
傳播系,3352044,跨媒介故事開發Story Development Across Media,李政忠,2.0,1,3  3/0/0,3,選修,,"二7,8,9",社科院207,50,
傳播系,3353007,校內實習（二）Campus Internship (II),吳政龍,3.0,1,4  0/4/0,2,必修,,"一13,14 三13,14",社科院207,50,
傳播系,3353025,數位媒體製作實務(二)Digital Integrated Media Production Pratice(II),吳政龍,3.0,1,3  3/0/0,3,必修,,"三4,5,6",社科院207,50,
傳播系,3354016,畢業製作Graduation Project (II),吳政龍 蔡崇隆,4.0,1,3  3/0/0,3,選修,,"二4,5,6",社科院227-1,55,
光機電所,4415001,專題討論Seminar,楊智媖,1.0,1,2  0/0/2,1,必修,,"三8,9",工學院B館116,0,碩士班課程
光機電所,4415015,光電工程實驗Optoelectronic Experiments,張國恩,1.0,1,3  0/3/0,1,必修,,"二4,5,6",工學院B館215左,0,碩士班課程
光機電所,4415018,有機電激發光元件及顯示器Organic Electroluminescent Devices and Display,王欽戊,1.0,1,3  3/0/0,3,選修,,"三4,5,6",創新大樓222,0,碩士班課程
光機電所,4415066,新能源技術與節能減碳應用New Energy Technologies and Their Applications on Energy Conserving and Carbon Emission Reducing,王欽戊,1.0,1,3  3/0/0,3,選修,,"四4,5,6",創新大樓222,0,碩士班課程
光機電所,4415091,平面顯示器Principles and Applications of Flat Panel Displays,丁初稷,1.0,1,3  3/0/0,3,選修,,"二13,14,15",創新大樓222,0,碩士班課程
光機電所,4415098,光機系統設計Optomechatronic System Design (全英語授課/English-taught) (程式設計相關/Programming related),王祥辰,1.0,1,3  3/0/0,3,選修,,"一8,9,10",創新大樓222,0,碩士班課程
光機電所,4415106,Python 程式設計與機器學習應用Machine Learning with Python (程式設計相關/Programming related),胡中興,1.0,1,3  3/0/0,3,選修,,"二9,10,11",電算中心215教室,70,碩士班課程
光機電所,4415109,軟性電子印刷製程 Printing-Based Fabrication of Flexible Electronics (全英語授課/English-taught),鄭榮偉,1.0,1,3  3/0/0,3,選修,,"四3,4,5",工學院B館215右,0,博士班課程
光機電所,4415112,人工智慧技術與應用以食道癌內視鏡診斷為例Artificial intelligence technology and application as an example of endoscopic diagnosis of esophageal cancer,王祥辰,1.0,1,3  3/0/0,3,選修,,"四4,5,6",創新大樓105,0,碩士班課程
光機電所,4415113,有機電子Organic Electronics,丁初稷,1.0,1,3  3/0/0,3,選修,,"三10,11,12",創新大樓222,0,碩士班課程
光機電所,4415115,光機電科技與實務Science and Practice of Opto-Mechatronics Engineering (程式設計相關/Programming related),葉志庭,1.0,1,3  3/0/0,3,選修,,"四7,8,9",創新大樓222,0,碩士班課程
分子生物所,2455004,分子生物學書報討論（二）Seminar on Molecular Biology (II),戴建國,1.0,1,2  0/0/2,1,必修,,"五4,5",生醫系228,0,碩士班課程
分子生物所,2455015,分子生物學書報討論（四）Seminar on Molecular Biology (IV),吳淑芬,1.0,1,2  0/0/2,1,必修,,"五2,3",生醫系236,0,碩士班課程
分子生物所,2455019,高等細胞生物學Advanced Cell Biology,李沁,1.0,1,3  3/0/0,3,必修,,"四3,4,5",生醫系236,0,碩士班課程
分子生物所,2455107,分子病毒學特論Molecular Virology,張德卿,1.0,1,3  3/0/0,3,選修,,"三8,9,10",生醫系460,0,碩博合開
分子生物所,2455113,基因重組病毒之應用Recombinant Technology on Virology,張德卿,1.0,1,2  0/0/2,1,選修,,"四11,12",生醫系460,0,碩博合開
分子生物所,2455511,分生技術實驗設計Experimental Design in Molecular Biology,李沁,1.0,1,2  2/0/0,2,選修,,"四8,9",生醫系236,0,碩博合開
分子生物所,2455681,基因編輯之原理與應用The principle and applications of genome editing,余俊頴,1.0,1,2  2/0/0,2,選修,,"二10,11",生醫系534,0,碩博合開
分子生物所,2455710,生物化學專題研究（二）Special topics on Biochemistry (II),李政怡 曾銘仁,1.0,1,4  0/0/4,2,選修,,"二13,14 四13,14",生醫系534,0,碩博合開
分子生物所,2455711,分子運輸學專題研究（二）Special topics on Molecular Transportation,李沁 黃憲斌,1.0,1,4  0/0/4,2,選修,,"二13,14 四13,14",生醫系230,0,碩博合開
分子生物所,2455712,細胞與發育生物學專題研究（二）Special topics on Cell and Developmental Biology (II),江明格 陳浩仁,1.0,1,4  0/0/4,2,選修,,"一2,3 三2,3",生醫系534,0,碩博合開
分子生物所,2455724,遺傳學專題研究（二）Special topics on Genetics(II),呂昱瑋 黃敏郎,1.0,1,4  0/0/4,2,選修,,"一13,14 三13,14",生醫系236,0,碩博合開
分子生物所,2458002,分子生物學書報討論（六）Seminar on Molecular Biology (VI),呂昱瑋,1.0,1,2  0/0/2,1,必修,,"五2,3",生醫系230,0,博士班課程
分子生物所,2458002,分子生物學書報討論（六）Seminar on Molecular Biology (VI) (全英語授課/English-taught),呂昱瑋,1.0,2,2  0/0/2,1,必修,,"四8,9",生醫系230,0,博士班課程
分子生物所,2458004,分子生物學書報討論（八）Seminar on Molecular Biology (VIII),呂昱瑋,1.0,1,2  0/0/2,1,必修,,"五4,5",生醫系230,0,博士班課程
分子生物所,2458008,高等細胞分子生物學（一）Advanced Cell and Molecular Biology(I) (全英語授課/English-taught),江明格 陳浩仁,1.0,1,3  3/0/0,3,必修,,"三4,5,6",生醫系236,0,博士班課程
分子生物所,2458009,高等細胞分子生物學（二）Advanced Cellular Molecular Biology(II),蕭淑惠 陳永恩,1.0,1,3  3/0/0,3,必修,,"四4,5,6",生醫系228,0,博士班課程
分子生物所,2458106,基因體技術及其生醫應用Genomics techniques and its biomedical application,呂昱瑋,1.0,1,3  3/0/0,3,選修,,"三G,H",生醫系546,8,博士班課程
前瞻製造系統碩_博士學位學程,4456015,電腦輔助機械製造Computer-Aided Manufacturing (全英語授課/English-taught),林榮信,1.0,1,3  3/0/0,3,選修,,一G 三G,工學院B館214右,0,碩士班課程
前瞻製造系統碩_博士學位學程,4456201,專題研討(二)Seminar II (全英語授課/English-taught),林派臣,1.0,1,2  0/0/2,1,必修,,"五8,9",工學院B館115,0,碩博合開
前瞻製造系統碩_博士學位學程,4456203,工具機PC NC架構之CNC人機介面設計與應用CNC Machine Tool Human Machine Interface Design and Application for PC NC Structure (全英語授課/English-taught),高永洲,1.0,1,3  3/0/0,3,選修,,"一10,11,12",創新大樓201,0,碩士班課程
前瞻製造系統碩_博士學位學程,4456206,光機系統設計Optomechatronic System Design (全英語授課/English-taught) (程式設計相關/Programming related),王祥辰,1.0,1,3  3/0/0,3,選修,,"一8,9,10",創新大樓222,0,碩士班課程
前瞻製造系統碩_博士學位學程,4456207,現代控制系統Modern Control Systems (全英語授課/English-taught),余國瑞,1.0,1,3  3/0/0,3,選修,,"二G,H",工學院A館125,0,碩博合開
前瞻製造系統碩_博士學位學程,4456222,工程分析(二)Engineering Analysis (II) (全英語授課/English-taught),郭春寶,1.0,1,3  3/0/0,3,選修,,"三4,5,6",工學院B館213,0,博士班課程
前瞻製造系統碩_博士學位學程,4456223,高等電腦輔助幾何設計Advanced Computer-Aided Geometric Design (全英語授課/English-taught),姚宏宗,1.0,1,3  3/0/0,3,選修,,二F 四F,工學院B館214右,0,博士班課程
前瞻製造系統碩_博士學位學程,4456227,圖形識別Pattern Recognition (全英語授課/English-taught),賴文能,1.0,1,3  3/0/0,3,選修,,"四3,4,5",工學院A館225,0,碩博合開
前瞻製造系統碩_博士學位學程,4456232,軟性電子印刷製程Printing-Based Fabrication of Flexible Electronics (全英語授課/English-taught),鄭榮偉,1.0,1,3  3/0/0,3,選修,,"四3,4,5",工學院B館215右,0,博士班課程
前瞻製造系統碩_博士學位學程,4456234,工程塑性力學Engineering Plasticity (全英語授課/English-taught),敖仲寧,1.0,1,3  3/0/0,3,選修,,"二3,4,5",工學院B館214左,0,碩士班課程
前瞻製造系統碩_博士學位學程,4456235,軟體架構Software Architecture (全英語授課/English-taught) (程式設計相關/Programming related),劉立頌,1.0,1,3  3/0/0,3,選修,,"三3,4,5",工學院A館126,0,碩博合開
前瞻製造系統碩_博士學位學程,4456236,中等熱傳學(一)Intermediate Heat Transfer (I) (全英語授課/English-taught),楊翰勳,1.0,1,3  3/0/0,3,選修,,"二3,4,5",工學院B館213,0,碩士班課程
前瞻製造系統碩_博士學位學程,4456237,微奈米磨潤學Micro/Nano Tribology (全英語授課/English-taught),鄭友仁,1.0,1,3  3/0/0,3,選修,,"一10,11,12",工學院B館115,0,博士班課程
勞工所,3205062,中國勞工關係專題討論Seminar on Labor Relation in China,朱柔若,1.0,1,3  3/0/0,3,選修,,"四7,8,9",社科院328,0,碩士班課程
勞工所,3205064,策略性人力資源專題討論Seminar on Strategic Human Resource,黃良志,1.0,1,3  3/0/0,3,選修,,"二7,8,9",社科院329,0,碩士班課程
勞工所,3205068,人力資源管理與勞工關係之競合專題討論Seminar in Co-Opetition Between Human Resource Management and Labor Relations,簡建忠,1.0,1,3  3/0/0,3,選修,,"二3,4,5",社科院509,0,碩士班課程
勞工所,3205073,東協國家勞動關係專題研究Seminar on Labour Relations in ASEAN Countries (全英語授課/English-taught),劉黃麗娟,1.0,1,3  3/0/0,3,選修,,"二4,5,6",社科院537,0,碩士班課程
勞工所,3206019,計量分析Quantitative Analysis,簡建忠,1.0,1,3  3/0/0,3,選修,,"三3,4,5",社科院521,0,碩士班課程
勞工所,3206032,比較勞工政策Comparative Labor Policy Analysis,吳育仁,1.0,1,3  3/0/0,3,選修,,"一7,8,9",社科院509,0,碩士班課程
勞工所,3206060,勞動法專題討論Seminar on Labor Law,楊通軒,1.0,1,3  3/0/0,3,選修,,"四3,4,5",社科院509,0,碩士班課程
勞工所,3206075,書報討論（一）Seminar（Ⅰ）,吳啟新,1.0,1,2  0/0/2,1,必修,,"五7,8",社科院509,0,碩士班課程
勞工所,3206084,勞動法令經濟分析An Economic Analysis of Labor Laws,藍科正,1.0,1,3  3/0/0,3,選修,,"三E,F",社科院521,0,碩士班課程
勞工所,3206086,非典型勞動Non-Standard Labor Work,馬財專,1.0,1,3  3/0/0,3,選修,,"三3,4,5",社科院509,0,碩士班課程
勞工所,3206097,組織行為專題討論Seminar on Organizational Behavior,林淑慧,1.0,1,3  3/0/0,3,選修,,"四3,4,5",社科院312,0,碩士班課程
勞工系,3201888,學系服務學習Service Learning：Campus Service,吳啟新,1.0,1,1  1/0/0,0,必修,,五2,社科院258,70,
勞工系,3201007,民法概論Introduction to Civil Law,李玉春,1.0,1,3  3/0/0,3,必修,,"五4,5,6",社科院326,60,
勞工系,3201023,人力資源管理Human Resource Management,簡建忠,1.0,1,3  3/0/0,3,必修,,"一7,8,9",社科院119,120,
勞工系,3201024,個體經濟學Microeconomics,吳啟新,1.0,1,3  3/0/0,3,選修,,"四7,8,9",社科院258,70,
勞工系,3201025,勞動市場與就業專題討論Seminar on Labor Markets and Employments,林淑慧,1.0,1,3  3/0/0,3,選修,,"三7,8,9",社科院258,70,
勞工系,3201027,勞工關係實用英語Practical English in Labor Relations (全英語授課/English-taught),劉黃麗娟,1.0,1,3  3/0/0,3,選修,,"一4,5,6",社科院329,30,
勞工系,3202004,勞動基準法Basic Labor Standards Law,楊通軒,2.0,1,3  3/0/0,3,必修,,"五4,5,6",社科院258,70,
勞工系,3202030,勞工保險理論與實務Workers' Insurance Theory and Practices,藍科正,2.0,1,3  3/0/0,3,選修,,"一E,F",社科院326,60,
